commntydst,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,comp2024,cenunits20,filed,approved,permitted,withdrawn,inactive
101,246,460,1598,503,416,-11,850,1174,1257,1166,431,382,840,27,594,282,41977,1014,41,3749,455,605
102,327,231,-22,-94,-37,-10,212,466,108,111,280,342,245,186,3,2,58418,384,-20,384,167,339
103,311,592,122,70,184,422,56,290,656,1432,449,315,181,379,539,50,82589,311,28,3185,456,719
104,276,1877,1987,298,2496,731,1653,1706,2110,2169,709,287,472,2250,382,843,84357,704,265,1675,243,2108
105,235,527,320,-13,147,277,535,543,731,1073,567,272,237,472,557,-4,42323,1887,275,999,2654,1344
106,-17,104,142,-119,-86,284,162,1275,554,704,700,-12,344,709,254,201,99371,2134,73,895,245,491
107,100,1219,48,361,62,249,303,837,316,245,1304,119,282,130,119,251,126397,136,0,70,938,94
108,338,259,122,-70,-118,-362,135,221,240,5,-11,329,159,48,-67,215,138922,254,5,1323,-169,54
109,287,87,88,27,9,165,-20,580,16,2,263,275,103,10,503,41,44900,235,199,1035,452,187
110,647,575,628,85,67,335,22,316,111,100,298,712,559,101,479,76,61629,134,-11,1033,-14,460
111,773,983,609,497,270,622,265,96,512,316,323,787,503,530,521,444,54738,541,-29,2079,1038,1003
112,12,32,129,-37,10,74,76,61,41,123,114,12,19,90,172,382,74722,321,100,2177,205,741
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
201,792,571,877,476,14,284,319,275,298,1093,525,812,1005,1214,2921,590,36896,932,572,2726,621,253
202,446,220,305,17,115,-1,0,107,78,78,400,529,280,422,125,189,19240,245,486,754,59,436
203,352,1294,715,207,599,276,418,658,612,460,863,744,289,538,763,333,34360,998,228,1280,783,35
204,250,453,39,139,49,283,85,129,351,538,283,250,523,446,2226,427,54022,1129,431,1832,428,348
205,306,297,200,152,-9,298,203,7,216,189,171,328,148,809,940,837,45814,897,128,3170,1264,849
206,588,224,375,145,10,195,397,179,274,1125,818,584,349,469,814,700,32821,447,358,1462,770,454
207,257,478,57,209,149,136,187,194,235,702,200,491,521,363,962,950,53180,1163,416,1506,786,525
208,45,27,26,251,70,1,-67,208,126,92,167,49,106,297,201,374,45144,418,450,574,412,162
209,199,199,133,48,78,30,319,250,137,47,549,381,634,87,642,81,68576,996,447,728,355,713
210,8,120,220,24,96,20,255,45,27,53,52,24,63,21,63,54,54738,60,202,490,66,291
211,21,69,42,22,35,14,18,-6,198,31,62,43,57,139,146,183,44864,231,78,624,123,400
212,140,250,344,174,264,203,265,347,94,218,76,197,388,364,654,448,60856,275,122,1387,147,339
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
301,1057,3044,1351,1199,1877,1425,1628,1727,2454,2563,2063,1644,746,1964,2550,2680,89974,890,371,6437,2943,2434
302,1427,1080,846,526,640,1288,1802,2314,2668,1442,1606,1543,2689,1293,1695,565,66998,1162,353,7453,1324,428
303,729,344,569,521,445,331,608,1068,923,1045,1038,988,1108,1195,713,516,72904,545,281,3487,1452,793
304,525,471,264,141,280,250,424,421,658,1696,1327,719,496,526,560,306,47292,286,169,1931,1097,869
305,1128,412,380,324,222,32,462,406,559,113,528,1224,1315,498,825,1223,72381,2026,737,3679,537,639
306,8,340,314,24,219,79,1,880,856,240,110,198,9,142,205,50,53365,641,879,7872,355,348
307,313,280,310,87,119,241,107,2,103,166,104,485,123,225,187,197,45683,193,155,1379,460,539
308,212,203,217,454,113,429,188,736,747,553,378,334,702,157,1212,380,49525,185,300,1795,890,652
